trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.45462120107882414, 'e': 0.525596487525562}",20,7,23.251217326808835,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.45553135332984873, 'e': 0.5203405226503064}",20,0,-22.409810962720595,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.45644332770689405, 'e': 0.5151371174238033}",25,0,0.5779341291275553,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.45735712785785881, 'e': 0.5099857462495653}",20,0,-9.096265216879521,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
68,False,"{'a': 0.45827275743794477, 'e': 0.5048858887870696}",25,0,-81.11861666627686,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
69,False,"{'a': 0.45919022010967148, 'e': 0.4998370298991989}",25,0,-42.02263265755136,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.46010951954289098, 'e': 0.49483865960020695}",30,10,-8.823469333797439,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.46103065941480204, 'e': 0.4898902730042049}",25,0,-83.5966126946063,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.46195364340996553, 'e': 0.48499137027416284}",25,0,-15.716376237818432,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
73,False,"{'a': 0.4628784752203185, 'e': 0.4801414565714212}",20,9,-46.03638649771762,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
74,False,"{'a': 0.46380515854518961, 'e': 0.47534004200570695}",30,0,-112.51363014692406,"{0: 22, 1: 0, 2: 4, 3: 3, 4: 1}",0
75,False,"{'a': 0.46473369709131324, 'e': 0.4705866415856499}",20,0,4.066893157345033,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.46566409457284497, 'e': 0.46588077516979337}",25,13,-4.745923020969418,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
77,False,"{'a': 0.46659635471137584, 'e': 0.46122196741809546}",20,0,8.030988019283823,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.46753048123594765, 'e': 0.4566097477439145}",25,0,-21.342046043834742,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 0.46846647788306783, 'e': 0.45204365026647536}",30,7,4.96898630589679,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.46940434839672412, 'e': 0.4475232137638106}",20,1,3.4415719752940968,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.47034409652839992, 'e': 0.4430479816261725}",35,5,-124.52778285967783,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 3}",1
82,False,"{'a': 0.4712857260370889, 'e': 0.43861750180991077}",25,5,23.458874908757185,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.47222924068931049, 'e': 0.43423132679181164}",20,7,-18.745049534849496,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.47317464425912431, 'e': 0.4298890135238935}",30,10,-20.090114241966727,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.47412194052814621, 'e': 0.4255901233886546}",20,0,-24.837968452454305,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
86,False,"{'a': 0.47507113328556239, 'e': 0.421334222154768}",20,0,-30.076909730631584,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
87,False,"{'a': 0.47602222632814506, 'e': 0.41712087993322033}",25,0,-39.00793419949763,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.47697522346026783, 'e': 0.41294967113388814}",20,6,-28.706481568627,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.47793012849392036, 'e': 0.40882017442254925}",25,1,9.79499577099378,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.47888694524872411, 'e': 0.4047319726783238}",20,0,-85.20492204509286,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
91,False,"{'a': 0.47984567755194735, 'e': 0.40068465295154054}",20,12,18.359541515586283,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.48080632923852057, 'e': 0.3966778064220251}",20,11,-17.458380287871943,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.48176890415105195, 'e': 0.39271102835780486}",20,8,-21.608582006209996,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.48273340613984211, 'e': 0.3887839180742268}",30,0,-49.591179552736335,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
95,False,"{'a': 0.48369983906290059, 'e': 0.38489607889348454}",20,0,-27.051833704910745,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
96,False,"{'a': 0.48466820678596023, 'e': 0.38104711810454966}",35,0,14.924595090897498,"{0: 31, 1: 2, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.48563851318249329, 'e': 0.37723664692350417}",20,16,6.341583086871022,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.4866107621337265, 'e': 0.37346428045426916}",20,0,-28.388372662852298,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
99,False,"{'a': 0.4875849575286571, 'e': 0.36972963764972644}",25,0,-32.97528401826906,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
100,False,"{'a': 0.48856110326406799, 'e': 0.3660323412732292}",25,10,-59.940215740571126,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
101,False,"{'a': 0.48953920324454325, 'e': 0.3623720178604969}",25,12,1.2435757513763628,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
102,False,"{'a': 0.49051926138248425, 'e': 0.3587482976818919}",20,8,-1.352550598782579,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.49150128159812478, 'e': 0.355160814705073}",25,0,-5.893824703717458,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
104,False,"{'a': 0.4924852678195471, 'e': 0.35160920655802225}",20,0,-30.71230062527939,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
105,False,"{'a': 0.49347122398269727, 'e': 0.348093114492442}",20,4,25.1865656611138,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.49445915403140139, 'e': 0.3446121833475176}",20,10,-4.750967246769596,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.49544906191738092, 'e': 0.34116606151404244}",25,18,1.8733419089876147,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.49644095160026869, 'e': 0.337754400898902}",20,13,-0.7470022298082473,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.49743482704762476, 'e': 0.334376856889913}",25,9,16.254259915538004,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.49843069223495234, 'e': 0.33103308832101386}",30,0,-60.12131372558912,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
111,False,"{'a': 0.49942855114571344, 'e': 0.3277227574378037}",30,7,9.075682975818271,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.5004284077713449, 'e': 0.3244455298634257}",25,14,-39.41287974271012,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.50143026611127473, 'e': 0.3212010745647914}",25,11,12.233516670017003,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5024341301729377, 'e': 0.3179890638191435}",20,2,15.70414318296817,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.50344000397179112, 'e': 0.31480917318095203}",20,13,-12.839138536147702,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.50444789153133174, 'e': 0.3116610814491425}",25,9,13.95008890005337,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.50545779688311121, 'e': 0.30854447063465107}",20,3,-57.93879260221245,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
118,False,"{'a': 0.50646972406675195, 'e': 0.3054590259283046}",30,14,-2.903971600418608,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
